Name
Análise de dados
Engenharia
Python
Automação
Robótica
Gestão de projetos de software
Gestão ágil de projetos
Electrical Engineering
Electronics
Engineering
Microcontroladores
Inteligência artificial
Estatística
Aprendizado de máquina
Data Science
Machine Learning
BIM
Ciência de dados
Firmware
Microsoft Excel
AutoCAD
Programmable Logic Controller (PLC)
Embedded Systems
C++
Tableau
Git
Linux
Microsoft Office
Macos
Matlab
C#
C (linguagem de programação)
Revit
Sistema operacional de tempo-real
SQL
MongoDB
Embedded C
NoSQL
SQLite
Desenvolvimento de hardware
FreeRTOS
I2C
Industrial Automation
Raspberry Pi
Internet das Coisas
Hardware
Desenvolvimento de banco de dados
