School Name,Start Date,End Date,Notes,Degree Name,Activities
Pontifícia Universidade Católica de Minas Gerais,2020,2021,,Pós-graduação Lato Sensu - Especialização,
Centro Universitário de Belo Horizonte,2007,2012,,Bacharelado em Engenharia,
Centro Federal de Educação Tecnológica de Minas Gerais,1997,2000,,Técnico em Eletromecânica,
