Event Name,Event Time,Status,External Url
Jornada do Sensor à Nuvem Online,"Jun 22, 2021 06:00 PM - Jun 24, 2021 06:00 PM",ATTENDING,https://bit.ly/3c45aXO
AI Today,"Jul 19, 2021 04:00 PM - Jul 23, 2021 12:30 AM",ATTENDING,https://www.igti.com.br/evento/ai-today
Curso de Comunicação Emocionalmente Inteligente,"Jul 10, 2021 05:00 PM - Jul 11, 2021 07:30 PM",ATTENDING,
